ACTOR_SECURITY	${stringTableActorSecurityTitle}
ERROR_BATTERY=FALSE	${stringTableBatteryFailure}
ERROR=NO_ERROR	${stringTableErrorNoError}
ERROR_OVERHEAT=FALSE	${stringTableErrorOverheatFalse}
ERROR_OVERHEAT=TRUE	${stringTableErrorOverheatTrue}
ERROR_OVERLOAD=FALSE	${stringTableErrorOverloadFalse}
ERROR_OVERLOAD=TRUE	${stringTableErrorOverloadTrue}
ERROR_POWER=TRUE	${stringTableErrorPowerTrue}
ERROR_POWER=FALSE	${stringTableErrorPowerFalse}
ERROR_REDUCED=FALSE	${stringTableErrorReducedFalse}
ERROR_REDUCED=TRUE	${stringTableErrorReducedTrue}
ERROR_SABOTAGE=FALSE	${stringTableErrorSabotageFalse}
ERROR_SABOTAGE=TRUE	${stringTableErrorSabotageTrue}
FREQUENCY_INPUT	${stringTableFrequencyInput}
GLOBAL_BUTTON_LOCK	${stringTableGlobalButtonLock}
INHIBIT	${stringTableInhibit}
INHIBIT=FALSE	${stringTableInhibitFalse}
INHIBIT=TRUE	${stringTableInhibitTrue}
INPUT_OUTPUT	${stringTableInputOutput}
INPUT_OUTPUT|BEHAVIOUR	${stringTableInputOutputBehaviour}
INPUT_OUTPUT|BEHAVIOUR=INPUT	${stringTableInputOutputBehaviourInput}
INPUT_OUTPUT|BEHAVIOUR=OUTPUT	${stringTableInputOutputBehaviourOutput}
INPUT_OUTPUT|INPUT_LOCKED	${stringTableInputOutputInputLocked}
INPUT_OUTPUT|INPUT_TYPE	${stringTableInputOutputInputType}
INPUT_OUTPUT|INPUT_TYPE=PUSHBUTTON	${stringTableInputOutputTypePushButton}
INPUT_OUTPUT|INPUT_TYPE=SWITCH	${stringTableInputOutputTypeSwitch}
INPUT_OUTPUT|LONGPRESS_TIME	${stringTableInputOutputLongPressA}
INPUT_OUTPUT|LONG_PRESS_TIME	${stringTableInputOutputLongPressB}
INPUT_OUTPUT|STATE=FALSE	${stringTableInputOutputStateFalse}
INPUT_OUTPUT|STATE=TRUE	${stringTableInputOutputStateTrue}
KEYMATIC	${stringTableKeyMaticTitle}
KEYMATIC|ANGLE_LOCKED	${stringTableKeyMaticAngleLocked}
KEYMATIC|ANGLE_MAX	${stringTableKeyMaticAngleMax}
KEYMATIC|ANGLE_OPEN	${stringTableKeyMaticAngleOpen}
KEYMATIC|ERROR=CLUTCH_FAILURE	${stringTableKeyMaticErrorClutch}
KEYMATIC|ERROR=MOTOR_ABORTED	${stringTableKeyMaticErrorMotorAborted}
KEYMATIC|HOLD_PWM	${stringTableKeyMaticHoldPWM}
KEYMATIC|HOLD_TIME	${stringTableKeyMaticHoldTime}
KEYMATIC|LED_FLASH_LOCKED	${stringTableKeyMaticLEDFlashLocked}
KEYMATIC|LED_FLASH_UNLOCKED	${stringTableKeyMaticLEDFlashUnlocked}
KEYMATIC|OPEN	${stringTableKeyMaticOpen}
KEYMATIC|RELOCK_DELAY	${stringTableKeyMaticRelockDelay}
KEYMATIC|RELOCK_DELAY=NOT_USED	${stringTableKeyMaticRelockDelayNotUsed}
KEYMATIC|SETUP_DIR	${stringTableKeyMaticSetupDir}
KEYMATIC|SETUP_DIR=LEFT	${stringTableKeyMaticSetupDirLeft}
KEYMATIC|SETUP_DIR=RIGHT	${stringTableKeyMaticSetupDirRight}
KEYMATIC|SETUP_POSITION	${stringTableKeyMaticSetupPosition}
KEYMATIC|STATE=FALSE	${stringTableKeyMaticStateFalse}
KEYMATIC|STATE=TRUE	${stringTableKeyMaticStateTrue}
KEYMATIC|STATE_UNCERTAIN=FALSE	${stringTableKeyMaticStateUncertainFalse}
KEYMATIC|STATE_UNCERTAIN=TRUE	${stringTableKeyMaticStateUncertainTrue}
KEYPRESS_SIGNAL	${stringTableKeyPressSignal}
KEY	${stringTableKeyTitle}
KEY|CHANNEL_FUNCTION	${stringTableKeyChannelFunction}
KEY|DBL_PRESS_TIME	${stringTableKeyDblPressTime}
KEY|INPUT_LOCKED	${stringTableKeyInputLocked}
KEY|INPUT_TYPE	${stringTableKeyInputType}
KEY|INPUT_TYPE=PUSHBUTTON	${stringTableKeyInputTypePushButton}
KEY|INPUT_TYPE=SWITCH	${stringTableKeyInputTypeSwitch}
KEY|LONG_PRESS_TIME	${stringTableKeyLongPressTimeA}
KEY|LONGPRESS_TIME	${stringTableKeyLongPressTimeB}

KEY|CHANNEL_FUNCTION=BUTTON_BEHAVIOR	${stringTableKeyButtonBehavior}
KEY|CHANNEL_FUNCTION=SWITCH_BEHAVIOR	${stringTableKeySwitchBehavior}
KEY|CHANNEL_FUNCTION=BINARY_BEHAVIOR	${stringTableKeyBinaryBehavior}
KEY|CHANNEL_FUNCTION=INACTIVE	${stringTableKeyInactive}

KEY|MSG_FOR_POS_A	${stringTableKeyMsgPosClosed}
KEY|MSG_FOR_POS_A=CLOSED	${stringTableKeyMsgPosA0}
KEY|MSG_FOR_POS_A=NO_MSG	${stringTableKeyMsgPosA1}
KEY|MSG_FOR_POS_A=OPEN	${stringTableKeyMsgPosA2}
KEY|MSG_FOR_POS_B	${stringTableKeyMsgPosOpen}
KEY|MSG_FOR_POS_B=CLOSED	${stringTableKeyMsgPosA0}
KEY|MSG_FOR_POS_B=NO_MSG	${stringTableKeyMsgPosA1}
KEY|MSG_FOR_POS_B=OPEN	${stringTableKeyMsgPosA2}

KEY|TEXT1	${stringTableKeyText1}
KEY|TEXT2	${stringTableKeyText2}
KEY|TEXTLINE_1	${stringTableKeyTextLine}
KEY|TEXTLINE_2	${stringTableKeyTextLine}
LANGUAGE	${stringTableLanguage}
LANGUAGE=ENGLISH	${stringTableLanguageEnglish}
LANGUAGE=GERMAN	${stringTableLanguageGerman}
LED_SLEEP_MODE=OFF	${stringTableLEDSleepModeOff}
LED_SLEEP_MODE=ON	${stringTableLEDSleepModeOn}
LED_STATUS=OFF	${stringTableLEDStatusOff}
LED_STATUS=RED	${stringTableLEDStatusRed}
LED_STATUS=GREEN	${stringTableLEDStatusGreen}
LED_STATUS=ORANGE	${stringTableLEDStatusOrange}
LIVE_MODE_RX	${stringTableLiveModeRX}
LOCAL_RESET_DISABLE	${stringTableLocalResetDisable}
LOGGING	${stringTableLogging}
LOGGING=FALSE	${stringTableLoggingFalse}
LOGGING=OFF	${stringTableLoggingOff}
LOGGING=ON	${stringTableLoggingOn}
LOGGING=TRUE	${stringTableLoggingTrue}
LOGGING_TIME	${stringTableLoggingTime}
LOGIC_INACTIVE	${stringTableLogicInactive}
LOGIC_OR	${stringTableLogicOR}
LOGIC_AND	${stringTableLogicAND}
LOGIC_XOR	${stringTableLogicXOR}
LOGIC_NOR	${stringTableLogicNOR}
LOGIC_NAND	${stringTableLogicNAND}
LOGIC_ORINVERS	${stringTableLogicORINVERS}
LOGIC_ANDINVERS	${stringTableLogicANDINVERS}
LOGIC_PLUS	${stringTableLogicPLUS}
LOGIC_MINUS	${stringTableLogicMINUS}
LOGIC_MUL	${stringTableLogicMUL}
LOGIC_PLUSINVERS	${stringTableLogicPLUSINVERS}
LOGIC_MINUSINVERS	${stringTableLogicMINUSINVERS}
LOGIC_MULINVERS	${stringTableLogicMULINVERS}
LOGIC_INVERSPLUS	${stringTableLogicINVERSPLUS}
LOGIC_INVERSMINUS	${stringTableLogicINVERSMINUS}
LOGIC_INVERSMUL	${stringTableLogicINVERSMUL}
LOW_BAT_LIMIT	${stringTableBatteryLowBatLimit}
LOWBAT=FALSE	${stringTableBatteryOk}
LOWBAT=TRUE	${stringTableBatteryEmpty}
MAINTENANCE|ERROR_BATTERY=BATTERY_DEFECT	${stringTableBatteryFailure}
MAINTENANCE|ERROR_BATTERY=NO_ERROR	${stringTableBatteryOk}
MAINTENANCE|CONFIG_PENDING	${stringTableConfigPending}
MAINTENANCE|LOWBAT	${stringTableBatteryLow}
MAINTENANCE|STICKY_BATTERY=BATTERY_DEFECT	${stringTableBatteryFailure}
MAINTENANCE|STICKY_BATTERY=BATTERY_WAS_DEFECT	${stringTableBatteryWasDefect}
MAINTENANCE|STICKY_POWER=POWER_FAILURE	${stringTablePowerNotAvailable}
MAINTENANCE|STICKY_POWER=WAS_POWER_FAILURE	${stringTablePowerWasNotAvailable}
MAINTENANCE|STICKY_SABOTAGE=SABOTAGE	${stringTableSabotage}
MAINTENANCE|STICKY_SABOTAGE=WAS_SABOTAGED	${stringTableSabotageContactWasActive}
MAINTENANCE|STICKY_UNREACH	${stringTableStickyUnreach}
MAINTENANCE|HMW_STICKY_UNREACH	${stringTableStickyUnreach}
MAINTENANCE|UNREACH	${stringTableUnreach}
minutes	${stringTableMinute}
MODUS_BUTTON_LOCK	${stringTableModusButtonLock}
MOTION_DETECTOR	${stringTableMotionDetectorTitle}
MOTION_DETECTOR|BRIGHTNESS	${stringTableMotionDetectorBrightness}
MOTION_DETECTOR|BRIGHTNESS_FILTER	${stringTableMotionDetectorBrightnessFilter}
MOTION_DETECTOR|ERROR=SABOTAGE	${stringTableMotionDetectorErrorSabotage}
MOTION_DETECTOR|EVENT_FILTER_NUMBER	${stringTableMotionDetectorEventFilterNumber}
MOTION_DETECTOR|EVENT_FILTER_PERIOD	${stringTableMotionDetectorEventFilterPeriod}
MOTION_DETECTOR|MIN_INTERVAL	${stringTableMotionDetectorMinInterval}
MOTION_DETECTOR|MOTION=FALSE	${stringTableMotionDetectorMotionFalse}
MOTION_DETECTOR|MOTION=TRUE	${stringTableMotionDetectorMotionTrue}
MOTION_DETECTOR|CAPTURE_WITHIN_INTERVAL	${stringTableMotionDetectorCaptureWithinInterval}
PARAM_SELECT	${stringTableParamSelect}
PARAM_SELECT=INACTIVE	${stringTableParamSelectInactive}
PARAM_SELECT=T1	${stringTableParamSelectT1}
PARAM_SELECT=T2	${stringTableParamSelectT2}
PARAM_SELECT=T1-T2	${stringTableParamSelectT1MinusT2}
PARAM_SELECT=T2-T1	${stringTableParamSelectT2MinusT1}
POWER|BAT_LEVEL	${stringTableBatteryCapacity}
POWER|LOWBAT=FALSE	${stringTableBatteryOk}
POWER|LOWBAT=TRUE	${stringTableBatteryEmpty}
POWER|USBH_POWERFAIL=FALSE	${stringTableUSBHostActive}
POWER|USBH_POWERFAIL=TRUE	${stringTableUSBHostNotActive}
POWER|U_SOURCE_FAIL=FALSE	${stringTablePowerSupplyOk}
POWER|U_SOURCE_FAIL=TRUE	${stringTablePowerSupplyNotOk}
POWER|U_USBD_OK=FALSE	${stringTableUSBNotActive}
POWER|U_USBD_OK=TRUE	${stringTableUSBActive}

POWERMETER|AVERAGING	${stringTablePowerMeterAveraging}
POWERMETER|TX_MINDELAY	${stringTablePowerMeterTxMinDelay}
POWERMETER|TX_THRESHOLD_POWER	${stringTablePowerMeterTxThresholdPower}
POWERMETER|TX_THRESHOLD_CURRENT	${stringTablePowerMeterTxThresholdCurrent}
POWERMETER|TX_THRESHOLD_VOLTAGE	${stringTablePowerMeterTxThresholdVoltage}
POWERMETER|TX_THRESHOLD_FREQUENCY	${stringTablePowerMeterTxThresholdFrequency}

POWERMETER|ENERGY_COUNTER	${stringTablePowerMeterEnergyCounter}
POWERMETER|POWER	${stringTablePowerMeterPower}
POWERMETER|CURRENT	${stringTablePowerMeterCurrent}
POWERMETER|VOLTAGE	${stringTablePowerMeterVoltage}
POWERMETER|FREQUENCY	${stringTablePowerMeterFrequency}

POWERMETER_IGL|ENERGY_COUNTER	${stringTablePowerMeterEnergyCounter}
POWERMETER_IGL|GAS_ENERGY_COUNTER	${stringTablePowerMeterEnergyCounterGas}
POWERMETER_IGL|POWER	${stringTablePowerMeterPower}
POWERMETER_IGL|GAS_POWER	${stringTableGasConsumption}

POWERUP_OFF	${stringTablePowerUpOFF} 
POWERUP_ON	${stringTablePowerUpON}
PRESS_LONG	${stringTableKeyPressLong}
PRESS_LONG=TRUE	${stringTableKeyPressLongTrue}
PRESS_SHORT	${stringTableKeyPressShort}
PRESS_SHORT=TRUE	${stringTableKeyPressShortTrue}
PULSE_SENSOR	${stringTablePulseSensorTitle}
PULSE_SENSOR|SEQUENCE_OK	${stringTablePulseSensorSequenceOk}
PULSE_SENSOR|SEQUENCE_PULSE_1	${stringTablePulseSensorSequencePulse1}
PULSE_SENSOR|SEQUENCE_PULSE_1=NOT_USED	${stringTablePulseSensorSequencePulse1Unused}
PULSE_SENSOR|SEQUENCE_PULSE_2	${stringTablePulseSensorSequencePulse2}
PULSE_SENSOR|SEQUENCE_PULSE_2=NOT_USED	${stringTablePulseSensorSequencePulse2Unused}
PULSE_SENSOR|SEQUENCE_PULSE_3	${stringTablePulseSensorSequencePulse3}
PULSE_SENSOR|SEQUENCE_PULSE_3=NOT_USED	${stringTablePulseSensorSequencePulse3Unused}
PULSE_SENSOR|SEQUENCE_PULSE_4	${stringTablePulseSensorSequencePulse4}
PULSE_SENSOR|SEQUENCE_PULSE_4=NOT_USED	${stringTablePulseSensorSequencePulse4Unused}
PULSE_SENSOR|SEQUENCE_PULSE_5	${stringTablePulseSensorSequencePulse5}
PULSE_SENSOR|SEQUENCE_PULSE_5=NOT_USED	${stringTablePulseSensorSequencePulse5Unused}
PULSE_SENSOR|SEQUENCE_TOLERANCE	${stringTablePulseSensorSequenceTolerance}
RAINDETECTOR	${stringTableRainDetector}
RAINDETECTOR|EVENT_FILTERTIME	${stringTableRainDetectorEventFilterTime}
RAINDETECTOR|STATE=DRY	${stringTableRainDetectorDry}
RAINDETECTOR|STATE=RAIN	${stringTableRainDetectorRain}
RAINDETECTOR|STATE_HIGH_HOLD_TIME	${stringTableRainDetectorStateHighHoldTime}
RAINDETECTOR|EVENT_RELEASE_FILTER_TIME	${stringTableRainDetectorEventReleaseFilterTime}
RAINDETECTOR|COND_TX_THRESHOLD_HI	${stringTableRainDetectorCondTxThresholdHi}
RAINDETECTOR|COND_TX_THRESHOLD_LO	${stringTableRainDetectorCondTxThresholdLo}
RAINDETECTOR_HEAT|STATE=TRUE	${stringTableRainDetectorHeatingOn}
RAINDETECTOR_HEAT|STATE=FALSE	${stringTableRainDetectorHeatingOff}
RESTART_OFF	${stringTableRestartOff}
RESTART_LAST	${stringTableRestartLast}
RESTART_BUTTONPRESS	${stringTableRestartButtonPress}
RESTART_BUTTONPRESS_IF_WAS_ON	${stringTableRestartButtonPressIfWasOn}
REMOTECONTROL_RECEIVER	${stringTableRemoteControlReceiver}
ROTARY_HANDLE_SENSOR	${stringTableRHSTitle}
ROTARY_HANDLE_SENSOR|ERROR=SABOTAGE	${stringTableRHSErrorSabotage}
ROTARY_HANDLE_SENSOR|EVENT_DELAYTIME	${stringTableRHSEventDelayTime}
ROTARY_HANDLE_SENSOR|MSG_FOR_POS_A	${stringTableRHSMsgPosA}
ROTARY_HANDLE_SENSOR|MSG_FOR_POS_A=CLOSED	${stringTableRHSMsgPosAClosed}
ROTARY_HANDLE_SENSOR|MSG_FOR_POS_A=NO_MSG	${stringTableRHSMsgPosANoMsg}
ROTARY_HANDLE_SENSOR|MSG_FOR_POS_A=OPEN	${stringTableRHSMsgPosAOpen}
ROTARY_HANDLE_SENSOR|MSG_FOR_POS_A=TILTED	${stringTableRHSMsgPosATilted}
ROTARY_HANDLE_SENSOR|MSG_FOR_POS_B	${stringTableRHSMsgPosB}
ROTARY_HANDLE_SENSOR|MSG_FOR_POS_B=CLOSED	${stringTableRHSMsgPosBClosed}
ROTARY_HANDLE_SENSOR|MSG_FOR_POS_B=NO_MSG	${stringTableRHSMsgPosBNoMsg}
ROTARY_HANDLE_SENSOR|MSG_FOR_POS_B=OPEN	${stringTableRHSMsgPosBOpen}
ROTARY_HANDLE_SENSOR|MSG_FOR_POS_B=TILTED	${stringTableRHSMsgPosBTilted}
ROTARY_HANDLE_SENSOR|MSG_FOR_POS_C	${stringTableRHSMsgPosC}
ROTARY_HANDLE_SENSOR|MSG_FOR_POS_C=CLOSED	${stringTableRHSMsgPosCClosed}
ROTARY_HANDLE_SENSOR|MSG_FOR_POS_C=NO_MSG	${stringTableRHSMsgPosCNoMsg}
ROTARY_HANDLE_SENSOR|MSG_FOR_POS_C=OPEN	${stringTableRHSMsgPosCOpen}
ROTARY_HANDLE_SENSOR|MSG_FOR_POS_C=TILTED	${stringTableRHSMsgPosCTilted}
ROTARY_HANDLE_SENSOR|STATE=CLOSED	${stringTableRHSStateClosed}
ROTARY_HANDLE_SENSOR|STATE=OPEN	${stringTableRHSStateOpen}
ROTARY_HANDLE_SENSOR|STATE=TILTED	${stringTableRHSStateTilted}
RS485_IDLE_TIME	${stringTableRS485IdleTime}
SABOTAGE_MSG	${stringTableSabotageMsg}
SABOTAGE|SHAKING	${stringTableSabotageContact}
SENSOR=FALSE	${stringTableSensorFalse}
SENSOR=TRUE	${stringTableSensorTrue}
SENSOR|INPUT_LOCKED	${stringTableSensorInputLocked}
SENSOR_FOR_CARBON_DIOXIDE	${stringTableSensorCO2Title}
SENSOR_FOR_CARBON_DIOXIDE|EVENT_FILTERTIME	${stringTableSensorCO2EventFilterTime}
SENSOR_FOR_CARBON_DIOXIDE|MSG_FOR_POS_A	${stringTableSensorCO2MsgPosA0}
SENSOR_FOR_CARBON_DIOXIDE|MSG_FOR_POS_A=LEVEL_NORMAL	${stringTableSensorCO2MsgPosA1}
SENSOR_FOR_CARBON_DIOXIDE|MSG_FOR_POS_A=NO_MSG	${stringTableSensorCO2MsgPosA2}
SENSOR_FOR_CARBON_DIOXIDE|MSG_FOR_POS_B	${stringTableSensorCO2MsgPosB0}
SENSOR_FOR_CARBON_DIOXIDE|MSG_FOR_POS_B=NO_MSG	${stringTableSensorCO2MsgPosB1}
SENSOR_FOR_CARBON_DIOXIDE|MSG_FOR_POS_B=LEVEL_NORMAL	${stringTableSensorCO2MsgPosB2}
SENSOR_FOR_CARBON_DIOXIDE|MSG_FOR_POS_B=LEVEL_ADDED	${stringTableSensorCO2MsgPosB3}
SENSOR_FOR_CARBON_DIOXIDE|MSG_FOR_POS_B=LEVEL_ADDED_STRONG	${stringTableSensorCO2MsgPosB4}
SENSOR_FOR_CARBON_DIOXIDE|MSG_FOR_POS_C	${stringTableSensorCO2MsgPosC0}
SENSOR_FOR_CARBON_DIOXIDE|MSG_FOR_POS_C=NO_MSG	${stringTableSensorCO2MsgPosC1}
SENSOR_FOR_CARBON_DIOXIDE|MSG_FOR_POS_C=LEVEL_NORMAL	${stringTableSensorCO2MsgPosC2}
SENSOR_FOR_CARBON_DIOXIDE|MSG_FOR_POS_C=LEVEL_ADDED	${stringTableSensorCO2MsgPosC3}
SENSOR_FOR_CARBON_DIOXIDE|MSG_FOR_POS_C=LEVEL_ADDED_STRONG	${stringTableSensorCO2MsgPosC4}
SENSOR_FOR_CARBON_DIOXIDE|MSG_FOR_POS_D	${stringTableSensorCO2MsgPosD0}
SENSOR_FOR_CARBON_DIOXIDE|MSG_FOR_POS_D=NO_MSG	${stringTableSensorCO2MsgPosD1}
SENSOR_FOR_CARBON_DIOXIDE|MSG_FOR_POS_D=LEVEL_NORMAL	${stringTableSensorCO2MsgPosD2}
SENSOR_FOR_CARBON_DIOXIDE|MSG_FOR_POS_D=LEVEL_ADDED	${stringTableSensorCO2MsgPosD3}
SENSOR_FOR_CARBON_DIOXIDE|MSG_FOR_POS_D=LEVEL_ADDED_STRONG	${stringTableSensorCO2MsgPosD4}
SENSOR_FOR_CARBON_DIOXIDE|STATE=LEVEL_NORMAL	${stringTableSensorCO2LevelOk}
SENSOR_FOR_CARBON_DIOXIDE|STATE=LEVEL_ADDED	${stringTableSensorCO2LevelHigh}
SENSOR_FOR_CARBON_DIOXIDE|STATE=LEVEL_ADDED_STRONG	${stringTableSensorCO2LevelStrong}
SENSOR_WINDOW	${stringTableSensorWindowTitle}
SENSOR_WINDOW|EVENT_DELAYTIME	${stringTableSensorWindowEventDelayTime}
SENSOR_WINDOW|EVENT_DELAYTIME=NOT_USED	${stringTableActorWindowStatusInfoNotUsed}
SENSOR_WINDOW|LEVEL	${stringTableActorWindowLevel}
SENSOR_WINDOW|TIPTRONIC_STATE=TT_LOCKED	${stringTableActorWindowTT_0}
SENSOR_WINDOW|TIPTRONIC_STATE=TT_UNLOCKS_IN_TILT_POSITION	${stringTableActorWindowTT_1}
SENSOR_WINDOW|TIPTRONIC_STATE=TT_IS_UNLOCKED_IN_TILT_POSITION_VENT_FRAME_IS_DUE	${stringTableActorWindowTT_2}
SENSOR_WINDOW|TIPTRONIC_STATE=TT_OPENS_IN_TILT_POSITION	${stringTableActorWindowTT_3}
SENSOR_WINDOW|TIPTRONIC_STATE=TT_IS_IN_TILT_POSITION_PARTITIAL_OPEND	${stringTableActorWindowTT_4}
SENSOR_WINDOW|TIPTRONIC_STATE=TT_IS_IN_TILT_POSITION_FULL_OPEND	${stringTableActorWindowTT_5}
SENSOR_WINDOW|TIPTRONIC_STATE=TT_CLOSES_FROM_TILT_POSITION	${stringTableActorWindowTT_6}
SENSOR_WINDOW|TIPTRONIC_STATE=TT_LOCKS_FROM_TILT_POSITION	${stringTableActorWindowTT_7}
SENSOR_WINDOW|TIPTRONIC_STATE=TT_UNLOCKS_IN_TURN_POSITION	${stringTableActorWindowTT_8}
SENSOR_WINDOW|TIPTRONIC_STATE=TT_IS_UNLOCKED_IN_TURN_POSITION_VENT_FRAME_IS_DUE	${stringTableActorWindowTT_9}
SENSOR_WINDOW|TIPTRONIC_STATE=TT_COULT_BE_OPEND_MANUAL_IN_TURN_POSITION	${stringTableActorWindowTT_10}
SENSOR_WINDOW|TIPTRONIC_STATE=TT_VENT_FRAME_IS_DUE_WINDOW_LOCKS_FROM_TURN_POSITION	${stringTableActorWindowTT_11}
SENSOR_WINDOW|TIPTRONIC_STATE=TIPTRONIC_UNKNOWN_STATE1	${stringTableActorWindowTT_12}
SENSOR_WINDOW|TIPTRONIC_STATE=TIPTRONIC_UNKNOWN_STATE2	${stringTableActorWindowTT_13}
SENSOR_WINDOW|TIPTRONIC_STATE=TIPTRONIC_WINDOW_IN_SHEV_POSITION	${stringTableActorWindowTT_14}
SENSOR_WINDOW|TIPTRONIC_STATE=TT_INITIAL_OPERATION	${stringTableActorWindowTT_15}
SENSOR_WINDOW|WIN_RELEASE=TRUE	${stringTableActorWindowReleaseTrue}
SENSOR_WINDOW|WIN_RELEASE=FALSE	${stringTableActorWindowReleaseFalse}
SENSOR_WINDOW|WINDOW_TYPE=TIPTRONIC_UNKNOWN_WINDOW_TYPE	${stringTableSensorWindowType_0}
SENSOR_WINDOW|WINDOW_TYPE=TIPTRONIC_TURN_AND_TILT	${stringTableSensorWindowType_1}
SENSOR_WINDOW|WINDOW_TYPE=TIPTRONIC_TURN_AND_TILT_TURN_LOCKED	${stringTableSensorWindowType_2}
SENSOR_WINDOW|WINDOW_TYPE=TIPTRONIC_TOPLIGHT	${stringTableSensorWindowType_3}
SENSOR_WINDOW|WINDOW_TYPE=TIPTRONIC_TURN	${stringTableSensorWindowType_4}
SENSOR_WINDOW|WINDOW_TYPE=TIPTRONIC_SHEV_TURN	${stringTableSensorWindowType_5}
SENSOR_WINDOW|WINDOW_TYPE=TIPTRONIC_SHEV_TILT	${stringTableSensorWindowType_6}
SHUTTER_CONTACT	${stringTableShutterContactTitle}
SHUTTER_CONTACT|ERROR=SABOTAGE	${stringTableShutterContactErrorSabotage}
SHUTTER_CONTACT|EVENT_DELAYTIME	${stringTableShutterContactEventDelayTime}
SHUTTER_CONTACT|MSG_FOR_POS_A	${stringTableShutterContactMsgPosA0}
SHUTTER_CONTACT|MSG_FOR_POS_A=CLOSED	${stringTableShutterContactMsgPosA1}
SHUTTER_CONTACT|MSG_FOR_POS_A=NO_MSG	${stringTableShutterContactMsgPosA2}
SHUTTER_CONTACT|MSG_FOR_POS_A=OPEN	${stringTableShutterContactMsgPosA3}
SHUTTER_CONTACT|MSG_FOR_POS_B	${stringTableShutterContactMsgPosB0}
SHUTTER_CONTACT|MSG_FOR_POS_B=CLOSED	${stringTableShutterContactMsgPosB1}
SHUTTER_CONTACT|MSG_FOR_POS_B=NO_MSG	${stringTableShutterContactMsgPosB2}
SHUTTER_CONTACT|MSG_FOR_POS_B=OPEN	${stringTableShutterContactMsgPosB3}
SHUTTER_CONTACT|STATE=FALSE	${stringTableShutterContactStateFalse}
SHUTTER_CONTACT|STATE=TRUE	${stringTableShutterContactStateTrue}
SIGNAL	${stringTableSignal}
SIGNAL_TONE	${stringTableSignalTone}
SIGNAL_TONE=HIGH	${stringTableSignalToneHigh}
SIGNAL_TONE=LOW	${stringTableSignalToneLow}
SIGNAL_TONE=MID	${stringTableSignalToneMid}
SIGNAL_TONE=VERY_HIGH	${stringTableSignalToneVeryHigh}
SIGNAL_LED	${stringTableSignalLEDTitle}
SIGNAL_LED|ACT_NUM	${stringTableSignalLEDActNum}
SIGNAL_LED|ACT_TYP	${stringTableSignalLEDActType}
SIGNAL_LED|ON_TIME	${stringTableSignalLEDOnTime}
SIGNAL_LED|STATE=TRUE	${stringTableSignalLEDStateTrue}
SIGNAL_LED|STATE=FALSE	${stringTableSignalLEDStateFalse}
SIGNAL_CHIME	${stringTableSignalChimeTitle}
SIGNAL_CHIME|ACT_NUM	${stringTableSignalChimeActNum}
SIGNAL_CHIME|ACT_TYP	${stringTableSignalChimeActType}
SIGNAL_CHIME|ON_TIME	${stringTableSignalChimeOnTime}
SIGNAL_CHIME|STATE=TRUE	${stringTableSignalChimeStateTrue}
SIGNAL_CHIME|STATE=FALSE	${stringTableSignalChimeStateFalse}
SMOKE_DETECTOR|ERROR_ALARM_TEST=NO_ERROR	${stringTableSmokeDetectorAlarmTestOK}
SMOKE_DETECTOR|ERROR_ALARM_TEST=ALARM_TEST_FAILED	${stringTableSmokeDetectorAlarmTestFailure}
SMOKE_DETECTOR|ERROR_SMOKE_CHAMBER=NO_ERROR	${stringTableSmokeDetectorSmokeChamberOK}
SMOKE_DETECTOR|ERROR_SMOKE_CHAMBER=DEGRADED_SMOKE_CHAMBER	${stringTableSmokeDetectorSmokeChamberFailure}
SMOKE_DETECTOR|STATE=FALSE	${stringTableSmokeDetectorStateFalse}
SMOKE_DETECTOR|STATE=TRUE	${stringTableSmokeDetectorStateTrue}
SMOKE_DETECTOR_TEAM	${stringTableSmokeDetectorTitle}
SMOKE_DETECTOR_TEAM|STATE=FALSE	${stringTableSmokeDetectorStateFalse}
SMOKE_DETECTOR_TEAM|STATE=TRUE	${stringTableSmokeDetectorStateTrue}
SMOKE_DETECTOR_TEAM_V2	${stringTableSmokeDetectorTitle}
SMOKE_DETECTOR_TEAM_V2|STATE=FALSE	${stringTableSmokeDetectorStateFalse}
SMOKE_DETECTOR_TEAM_V2|STATE=TRUE	${stringTableSmokeDetectorStateTrue}
STANDBY_TIME	${stringTableStandByTime}
STATUS_INDICATOR	${stringTableStatusIndicatorTitle}
STATUS_INDICATOR|STATE=TRUE	${stringTableStatusIndicatorStateTrue}
STATUS_INDICATOR|STATE=FALSE	${stringTableStatusIndicatorStateFalse}
STATUS_INDICATOR|ON_TIME	${stringTableStatusIndicatorOnTime}
STATUS_INDICATOR|INHIBIT=TRUE	${stringTableStatusIndicatorInhibitTrue}
STATUS_INDICATOR|INHIBIT=FALSE	${stringTableStatusIndicatorInhibitFalse}
SUBMIT	${stringTableSubmit}
SWITCH	${stringTableSwitchTitle}
SWITCH|AES_ACTIVE	${stringTableSwitchAESActive}
SWITCH|ON_TIME	${stringTableSwitchOnTime}
SWITCH|STATE=FALSE	${stringTableSwitchStateFalse}
SWITCH|STATE=TRUE	${stringTableSwitchStateTrue}
SWITCH|STATUSINFO_MINDELAY	${stringTableSwitchStatusInfoMinDelay}
SWITCH|STATUSINFO_RANDOM	${stringTableStatusInfoRandom}
SWITCH|STATUSINFO_RANDOM_A	${stringTableStatusInfoRandomA}
SWITCH_INTERFACE	${stringTableSwitchInterfaceTitle}
